timestamp,x1,y1,x2,y2,cx,cy,z_mm,label,image_width,robot_x,robot_y,robot_yaw_deg,orig_x1_global,orig_y1_global,orig_x2_global,orig_y2_global,ext_x1_global,ext_y1_global,ext_x2_global,ext_y2_global
1750161003.4260297,179,0,415,309,297,154,774,glass,416,-55.48194749960947,-90.30890145252653,4.165031001316587,-54.707969902197384,-90.31479031525406,-54.86385546383569,-89.84302782662243,-54.45239378872802,-90.38732134736706,-54.701810687349294,-89.63250136555645
1750161003.4260297,1,0,181,312,91,156,747,glass,416,-55.48194749960947,-90.30890145252653,4.165031001316587,-54.826571081273805,-90.66735751718372,-54.73494910057454,-90.31044800975191,-54.64370145287799,-90.82843076269565,-54.49710628375918,-90.25737555080478
1750161003.54509,179,0,415,309,297,154,782,glass,416,-55.48194749960947,-90.30890145252653,4.165031001316587,-54.699970133748685,-90.31485118205228,-54.85746691566232,-89.83821259534693,-54.4417524067034,-90.38813188891581,-54.693747257765224,-89.62551015018724
1750161003.54509,2,0,183,310,92,155,753,glass,416,-55.48194749960947,-90.30890145252653,4.165031001316587,-54.82030899886752,-90.66840596478742,-54.72895202700852,-90.30629027607382,-54.63552099442378,-90.83057467177274,-54.48934983944938,-90.25118956983097
1750161003.665951,179,0,415,309,297,154,771,glass,416,-55.48194749960947,-90.30890145252653,4.165031001316587,-54.71096981536565,-90.31476749020473,-54.866251169400705,-89.84483353835076,-54.45638430698725,-90.38701739428629,-54.704834473443334,-89.6351230713199
1750161003.787556,179,0,415,310,297,155,768,glass,416,-55.48194749960947,-90.30890145252653,4.165026946211924,-54.71396972894747,-90.31474471950898,-54.86864684224915,-89.84663929348537,-54.460374830753615,-90.38671351350726,-54.70785821203629,-89.63774483186947
1750161003.787556,2,0,183,311,92,155,758,glass,416,-55.48194749960947,-90.30890145252653,4.165026946211924,-54.81591567454185,-90.67079316008156,-54.72395205688489,-90.30627299123184,-54.62990066967011,-90.83403869767552,-54.482758881418974,-90.250806427516
1750161003.9095778,179,0,415,310,297,155,790,glass,416,-55.48194749960947,-90.30890145252653,4.165026946211924,-54.69197036572538,-90.31491210476108,-54.851078333835176,-89.83339740872117,-54.431111030343686,-90.38894250483742,-54.68568377931936,-89.61851899117357
1750161003.9095778,2,0,183,310,92,155,756,glass,416,-55.48194749960947,-90.30890145252653,4.165026946211924,-54.81767301444968,-90.66983830069486,-54.72595204486042,-90.30627992648593,-54.632148814340134,-90.83265311127671,-54.48539526299732,-90.25095971254241
1750161004.0308037,179,0,415,309,297,154,779,glass,416,-55.48194749960947,-90.30890145252653,4.165026946211924,-54.70297004733643,-90.31482841213503,-54.85986258804216,-89.84001835110327,-54.44574293054865,-90.38782800917234,-54.69677099567784,-89.62813191152155
1750161004.1521857,179,0,415,309,297,154,781,glass,416,-55.48194749960947,-90.30890145252653,4.165025761609829,-54.70097010534818,-90.31484364512299,-54.858265441194476,-89.83881455629218,-54.443082586692846,-90.38803066622656,-54.69475512404693,-89.62638412409724
1750161004.2703245,179,0,415,309,297,154,785,glass,416,-55.48194749960947,-90.30890145252653,4.165024598408605,-54.696970221247874,-90.31487409482426,-54.85507115729518,-89.83640695367319,-54.4377618973323,-90.38843595868623,-54.690723395007986,-89.62288853284453
1750161004.2703245,2,0,183,311,92,155,758,glass,416,-55.48194749960947,-90.30890145252653,4.165024598408605,-54.815915689371046,-90.67079318737348,-54.723952056777186,-90.30627302229215,-54.6299006911886,-90.83403873258976,-54.48275887903842,-90.25080646845964
1750161004.3900158,179,0,415,309,297,154,768,glass,416,-55.48194749960947,-90.30890145252653,4.165024598408605,-54.713969729186914,-90.31474475097832,-54.868646823307074,-89.84663931861652,-54.46037483394212,-90.38671355536813,-54.70785818453438,-89.63774486358925
1750161004.510217,179,0,415,309,297,154,768,glass,416,-55.48194749960947,-90.30890145252653,4.165022891043966,-54.71396972936103,-90.3147447738634,-54.86864680953207,-89.84663933689235,-54.46037483626085,-90.3867135858101,-54.70785816453451,-89.63774488665646
